Time ( s ),Angular Position ( deg )
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,2
3.4,7
3.5,10
3.6,14
3.7,19
3.8,22
3.9,23
4,24
4.1,26
4.2,27
4.3,28
4.4,30
4.5,30
4.6,31
4.7,32
4.8,32
4.9,32
5,33
5.1,33
5.2,33
5.3,32
5.4,33
5.5,33
5.6,32
5.7,32
5.8,33
5.9,33
6,33
6.1,33
6.2,33
6.3,33
6.4,33
6.5,33
6.6,33
6.7,33
6.8,32
6.9,32
7,32
7.1,32
7.2,32
7.3,31
7.4,31
7.5,31
7.6,30
7.7,30
7.8,30
7.9,30
8,30
8.1,30
8.2,30
8.3,30
8.4,30
8.5,30
8.6,31
8.7,31
8.8,31
8.9,31
9,31
9.1,31
9.2,31
9.3,30
9.4,30
9.5,30
9.6,30
9.7,30
9.8,30
9.9,30
10,30
10.1,30
10.2,30
10.3,30
10.4,30
10.5,30
10.6,30
10.7,30
10.8,30
10.9,30
11,30
11.1,26
11.2,15
11.3,-1
11.4,-15
11.5,-26
11.6,-29
11.7,-24
11.8,-13
11.9,2
12,17
12.1,26
12.2,28
12.3,22
12.4,10
12.5,-5
12.6,-18
12.7,-26
12.8,-27
12.9,-20
13,-8
13.1,7
13.2,19
13.3,26
13.4,26
13.5,18
13.6,5
13.7,-9
13.8,-21
13.9,-27
14,-25
14.1,-16
14.2,-3
14.3,11
14.4,22
14.5,26
14.6,23
14.7,14
14.8,0
14.9,-13
15,-23
15.1,-26
15.2,-22
15.3,-12
15.4,2
15.5,15
15.6,23
15.7,25
15.8,20
15.9,9
16,-4
16.1,-17
16.2,-24
16.3,-25
16.4,-19
16.5,-7
16.6,6
16.7,18
16.8,24
16.9,23
17,16
17.1,4
17.2,-9
17.3,-19
17.4,-24
17.5,-23
17.6,-15
17.7,-2
17.8,10
17.9,20
18,24
18.1,21
18.2,12
18.3,0
18.4,-13
18.5,-21
18.6,-24
18.7,-20
18.8,-10
18.9,2
19,14
19.1,22
19.2,23
19.3,18
19.4,7
19.5,-5
19.6,-16
19.7,-22
