Time ( s ),Angular Position ( deg )
0,-1
0.1,-1
0.2,-1
0.3,-1
0.4,-2
0.5,-2
0.6,-2
0.7,-1
0.8,2
0.9,5
1,8
1.1,10
1.2,12
1.3,16
1.4,18
1.5,20
1.6,21
1.7,23
1.8,23
1.9,23
2,25
2.1,27
2.2,27
2.3,27
2.4,26
2.5,26
2.6,27
2.7,27
2.8,28
2.9,29
3,29
3.1,29
3.2,30
3.3,30
3.4,30
3.5,30
3.6,30
3.7,30
3.8,30
3.9,30
4,30
4.1,30
4.2,30
4.3,30
4.4,29
4.5,24
4.6,13
4.7,-2
4.8,-17
4.9,-28
5,-32
5.1,-29
5.2,-20
5.3,-6
5.4,9
5.5,21
5.6,28
5.7,27
5.8,20
5.9,7
6,-7
6.1,-21
6.2,-29
6.3,-31
6.4,-26
6.5,-15
6.6,-1
6.7,13
6.8,24
6.9,28
7,25
7.1,16
7.2,2
7.3,-12
7.4,-23
7.5,-30
7.6,-29
7.7,-22
7.8,-10
7.9,4
8,17
8.1,25
8.2,27
8.3,22
8.4,11
8.5,-3
8.6,-16
8.7,-26
8.8,-29
8.9,-27
9,-18
9.1,-5
9.2,9
9.3,20
9.4,26
9.5,25
9.6,18
9.7,6
9.8,-8
9.9,-20
10,-27
10.1,-28
10.2,-23
10.3,-13
10.4,0
10.5,13
10.6,22
10.7,25
10.8,22
10.9,13
11,1
11.1,-12
11.2,-22
11.3,-28
11.4,-26
11.5,-19
11.6,-8
11.7,5
11.8,17
11.9,23
12,24
12.1,19
12.2,8
12.3,-4
12.4,-16
12.5,-25
12.6,-27
